Index,FacilityID,OrgFacilityID,ParentRecAreaID,FacilityName,FacilityLongitude,FacilityLatitude,NumberofCampsites,ActivityName.1,ActivityName.2,ActivityName.3,ActivityName.4,ActivityName.5,ActivityName.6,ActivityName.7,ActivityName.8,ActivityName.9,ActivityName.10,ActivityName.11,ActivityName.12,ActivityName.13,ActivityName.14,ActivityName.15,ActivityName.16,ActivityName.17,ActivityName.18,ActivityName.19,ActivityName.20,ActivityName.21,ActivityName.22,ActivityName.23,ActivityName.24,ActivityName.25,ActivityName.26,ActivityName.27,ActivityName.28,ActivityName.29,ActivityName.30
1,10000305,126,16669,Burro Creek Campground ,-113.451688,34.535861,25,CAMPING,WILDLIFE VIEWING,HIKING,PICNICKING,DAY USE AREA,ENVIRONMENTAL EDUCATION,PHOTOGRAPHY,BIRDING,WATER ACCESS,BACKPACKING,,,,,,,,,,,,,,,,,,,,
2,10001419,130,287,Cold Brook Campground,0,0,12,BOATING,CAMPING,FISHING,WILDLIFE VIEWING,HIKING,PICNICKING,DAY USE AREA,BIRDING,WATER ACCESS,SWIMMING,,,,,,,,,,,,,,,,,,,,
3,10001432,130,286,Cottonwood Springs Campground,0,0,18,BOATING,CAMPING,FISHING,WILDLIFE VIEWING,HIKING,PICNICKING,DAY USE AREA,BIRDING,WATER ACCESS,,,,,,,,,,,,,,,,,,,,,
4,10001451,128,2602,Steel Creek Campground,0,0,39,CAMPING,FISHING,HIKING,PICNICKING,HORSEBACK RIDING,HISTORIC , CULTURAL SITE,SWIMMING,HORSE CAMPING,RANGER STATION,KAYAKING,CANOEING,STAR GAZING,,,,,,,,,,,,,,,,,
5,10003362,129,130,Chinamen's Campground,0,0,38,BOATING,CAMPING,WATER ACTIVITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10003401,129,130,Jo Bonner  Campground ,0,0,17,BOATING,CAMPING,FISHING,WATER ACTIVITIES,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10004152,128,2991,Camp 4,-119.603357,37.741426,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10004300,129,1128,Lakeside Campground (ND),0,0,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10004358,128,2589,Station Camp Campground,0,0,24,CAMPING,WILDLIFE VIEWING,HIKING,HUNTING,HORSEBACK RIDING,,,,,,,,,,,,,,,,,,,,,,,,,
10,10004657,128,2607,Bay View House,-70.074826,41.958112,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
