Cluster,number_of_camgrounds,average_number_campsites,median_number_campsites,min_demand,mean_demand,median_demand,max_demand,average_median_orderdate_to_startdate,median_median_orderdate_to_startdate,average_min_orderdate_to_startdate,average_nights,total_number_activities,average_number_activities,median_number_activities, ALL TERRAIN/OHV, DIFFICULT HIKING, HORSE,ACCESSIBLE SWIMMING,AMPHITHEATER,AUTO TOURING,BACKPACKING,BEACH CAMPING,BEACHCOMBING,BERRY PICKING,BIKING,BIRD WATCHING,BIRDING,BOAT RENTAL,BOATING,CAMPING,CANOEING,CLIMBING,CRAWFISHING,CROSS COUNTRY SKIING,CULTURAL ACTIVITIES,DAY USE AREA,DISC GOLF,EDUCATIONAL PROGRAMS,ENVIRONMENTAL EDUCATION,EVENING PROGRAMS,FIRE LOOKOUTS/CABINS OVERNIGHT,FISH HATCHERY,FISH VIEWING SITE,FISHING,GOLD PANNING,GOLF,GONDOLA RIDES,GUIDED INTERPRETIVE WALKS,HIKING,HIKING TRAIL,HISTORIC & CULTURAL SITE,HISTORIC SITES,HORSE CAMPING,HORSEBACK RIDING,HOTEL/LODGE/RESORT FS OWNED,HOTEL/LODGE/RESORT PRIVATELY OWNED,HUNTING,ICE CLIMBING,INFORMATION SITE,INTERPRETIVE PROGRAMS,JET SKIING,KAYAKING,LOOKOUT TOWER,MARINA,MOTOR BOAT,MOUNTAIN BIKING,MOUNTAIN CLIMBING,MUSHROOM PICKING,NON-MOTORIZED BOATING,OBSERVATION SITE,OFF HIGHWAY VEHICLE,OFF HIGHWAY VEHICLE TRAILS,OFF ROAD VEHICLE TRAILS,OTHER RECREATION CONCESSION SITE,PADDLE BOATING,PADDLING,PHOTOGRAPHY,PICNIC TABLES,PICNICKING,RAFTING,RANGER STATION,RECREATION PROGRAMS,RECREATIONAL VEHICLES,RIVER TRIPS,ROCK CLIMBING,SAILBOARDING,SAILING,SCENIC DRIVE,SCUBA DIVING,SEA KAYAKING,SKIING,SLEDDING,SNORKELING,SNOWMOBILE,SNOWMOBILE TRAILS,SNOWMOBILING,SNOWSHOEING,SOFTBALL FIELDS,STAR GAZING,STARGAZING,SWIMMING,SWIMMING SITE,TRAILS,TUBING,VISITOR CENTER,WATER ACCESS,WATER ACTIVITIES,WATER SKIING,WATER SPORTS,WHALE WATCHING,WHITEWATER RAFTING,WILD HORSE VIEWING,WILDERNESS,WILDLIFE VIEWING,WINTER SPORTS,WOOD CUTTING,NumberofActivities
0,57,21.17543859649123,16.0,0.13333333333333333,62.372327721818955,71.51515151515152,136.8,109.71052631578948,109.0,16.403508771929825,3.0891441169770304,333,5.842105263157895,5.0,0,0,0,0,1,0,0,0,2,2,16,0,8,0,32,50,5,0,0,1,0,8,0,1,0,0,0,0,0,39,0,0,0,1,37,0,6,0,0,2,0,0,2,0,0,6,0,3,0,0,1,4,0,2,2,0,0,0,3,0,1,2,4,0,7,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,2,0,9,21,0,0,4,4,2,2,14,0,1,0,2,16,1,1,333
1,87,18.195402298850574,1.0,109.17142857142859,219.14843568873076,192.0,430.0,133.4655172413793,126.0,2.1264367816091956,2.4205751800086084,577,6.632183908045977,6.0,0,0,0,0,3,0,2,0,0,10,32,1,19,0,21,79,7,4,3,1,0,13,0,0,0,2,1,2,0,49,0,0,0,0,76,1,16,4,0,18,0,2,23,0,0,14,0,4,0,0,2,11,0,0,5,1,2,0,0,1,1,3,5,1,8,2,1,0,0,0,0,0,3,4,0,0,0,0,0,0,0,1,0,0,8,1,6,14,0,0,11,4,6,0,5,0,2,1,1,53,7,0,577
2,138,6.398550724637682,1.0,39.0,105.56020717923047,100.43181818181819,230.0,150.56884057971016,154.5,2.9565217391304346,2.82908011893084,729,5.282608695652174,5.0,0,0,0,0,1,1,0,0,0,6,50,0,19,0,41,119,10,3,1,2,2,14,0,1,0,0,1,2,0,94,2,0,0,0,93,0,15,2,1,13,0,1,20,1,2,10,0,4,0,0,1,10,1,1,5,0,2,1,2,0,1,0,4,0,14,1,0,0,1,0,1,1,0,4,0,0,2,2,0,0,0,1,3,0,4,0,22,22,0,1,6,11,2,2,14,0,1,0,2,52,1,0,729
3,29,42.10344827586207,19.0,1.6851851851851851,62.78686962311669,62.8,127.9090909090909,63.13793103448276,60.0,3.0344827586206895,3.083156371589525,163,5.620689655172414,4.0,0,0,0,0,1,0,0,0,2,0,8,0,3,0,14,28,2,1,0,0,0,4,0,0,0,0,0,0,0,21,0,0,0,1,20,0,4,0,0,3,0,0,1,0,1,4,1,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,8,0,0,1,2,0,0,8,0,0,0,1,9,0,0,163
4,107,34.61682242990654,23.0,42.12903225806452,120.98112396087464,120.375,179.33333333333337,34.757009345794394,34.0,1.4485981308411215,2.353132852161821,571,5.336448598130841,5.0,0,0,0,0,1,0,2,0,0,0,43,0,6,0,46,96,8,2,0,0,0,13,0,0,0,0,1,0,0,74,1,0,0,0,67,0,6,0,0,14,0,1,16,0,1,9,0,12,1,0,1,11,2,1,4,1,0,5,1,0,0,1,3,0,5,3,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,16,23,0,1,7,5,6,0,16,0,2,0,0,23,3,0,571
5,59,37.33898305084746,19.0,115.24390243902441,273.2135415064094,253.0,520.8,87.63559322033899,81.0,1.1694915254237288,2.27186151312942,379,6.423728813559322,6.0,0,0,0,1,3,0,4,0,1,3,18,0,13,0,15,55,3,1,1,2,0,12,0,0,0,2,2,0,1,35,0,0,0,1,41,0,15,2,0,7,1,0,10,0,3,10,0,1,1,0,1,8,1,2,1,0,0,0,1,2,1,1,8,0,7,0,1,0,0,0,1,0,2,2,1,1,1,0,1,1,0,0,3,0,3,0,4,14,0,1,5,3,2,1,5,1,0,1,5,23,0,0,379
6,76,39.14473684210526,26.0,6.454545454545454,57.74375608030452,54.553030303030305,136.1529411764706,38.85526315789474,39.0,2.0789473684210527,3.0121388190178706,423,5.565789473684211,5.5,0,0,0,0,0,0,0,1,5,2,31,0,5,0,43,70,6,0,0,0,0,7,0,0,0,0,1,0,0,52,0,0,0,0,50,0,4,0,3,12,0,0,10,0,0,6,0,4,0,0,1,2,0,0,2,0,0,0,6,0,0,2,4,0,4,0,1,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,1,0,8,22,0,0,3,2,2,2,21,0,1,0,1,19,1,0,423
7,234,31.846153846153847,20.5,3.1428571428571432,61.46164374585382,63.21052631578948,105.0,25.89957264957265,24.0,1.764957264957265,2.397568977956838,1224,5.230769230769231,5.0,0,0,0,1,3,1,7,0,0,4,67,0,25,0,90,196,18,2,1,0,0,30,1,1,2,3,1,5,1,153,1,0,0,1,143,0,11,3,3,12,0,1,30,0,2,17,4,14,0,1,6,17,1,0,9,1,1,1,3,2,5,5,7,0,21,1,5,1,4,0,2,1,3,14,1,2,0,0,1,0,0,0,0,1,4,0,32,51,0,1,19,16,11,8,38,1,1,0,3,64,5,0,1224
8,56,30.178571428571427,26.0,119.0,173.16791126792987,171.38715277777777,243.8181818181818,35.839285714285715,35.5,1.1428571428571428,2.2582296574088176,357,6.375,6.0,1,1,1,0,0,0,1,0,2,2,21,0,6,1,21,51,3,1,0,0,1,8,0,0,0,0,1,0,0,43,0,1,1,1,47,0,7,0,0,4,0,0,6,0,1,11,1,5,0,0,1,2,0,0,1,0,0,1,0,0,0,1,2,0,6,0,1,0,0,0,0,1,2,1,1,1,0,0,1,0,0,0,0,1,2,0,8,17,1,1,7,7,5,1,11,2,0,0,0,21,2,0,357
9,49,41.04081632653061,26.0,111.33846153846156,213.1134122258677,203.0,363.77777777777777,50.30612244897959,52.0,1.1224489795918366,2.3252421608724636,277,5.653061224489796,5.0,0,0,0,0,0,0,2,0,0,1,16,1,2,0,22,44,1,2,0,1,0,9,0,0,0,0,0,0,0,35,0,0,0,1,38,0,6,0,0,7,0,0,2,0,2,13,0,0,0,0,0,4,0,0,1,0,0,0,0,2,1,0,3,0,6,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,14,0,0,7,1,0,0,10,0,1,0,1,10,3,0,277
