number_of_camgrounds,average_number_campsites,median_number_campsites,min_demand,mean_demand,median_demand,max_demand,average_median_orderdate_to_startdate,median_median_orderdate_to_startdate,average_min_orderdate_to_startdate,average_nights,total_number_activities,average_number_activities,median_number_activities
57,21.17543859649123,16.0,0.13333333333333333,62.372327721818955,71.51515151515152,136.8,109.71052631578948,109.0,16.403508771929825,3.0891441169770304,333,5.842105263157895,5.0
87,18.195402298850574,1.0,109.17142857142859,219.14843568873076,192.0,430.0,133.4655172413793,126.0,2.1264367816091956,2.4205751800086084,577,6.632183908045977,6.0
138,6.398550724637682,1.0,39.0,105.56020717923047,100.43181818181819,230.0,150.56884057971016,154.5,2.9565217391304346,2.82908011893084,729,5.282608695652174,5.0
29,42.10344827586207,19.0,1.6851851851851851,62.78686962311669,62.8,127.9090909090909,63.13793103448276,60.0,3.0344827586206895,3.083156371589525,163,5.620689655172414,4.0
107,34.61682242990654,23.0,42.12903225806452,120.98112396087464,120.375,179.33333333333337,34.757009345794394,34.0,1.4485981308411215,2.353132852161821,571,5.336448598130841,5.0
59,37.33898305084746,19.0,115.24390243902441,273.2135415064094,253.0,520.8,87.63559322033899,81.0,1.1694915254237288,2.27186151312942,379,6.423728813559322,6.0
76,39.14473684210526,26.0,6.454545454545454,57.74375608030452,54.553030303030305,136.1529411764706,38.85526315789474,39.0,2.0789473684210527,3.0121388190178706,423,5.565789473684211,5.5
234,31.846153846153847,20.5,3.1428571428571432,61.46164374585382,63.21052631578948,105.0,25.89957264957265,24.0,1.764957264957265,2.397568977956838,1224,5.230769230769231,5.0
56,30.178571428571427,26.0,119.0,173.16791126792987,171.38715277777777,243.8181818181818,35.839285714285715,35.5,1.1428571428571428,2.2582296574088176,357,6.375,6.0
49,41.04081632653061,26.0,111.33846153846156,213.1134122258677,203.0,363.77777777777777,50.30612244897959,52.0,1.1224489795918366,2.3252421608724636,277,5.653061224489796,5.0
