facilityid,#tenting,#group,#remote,#structured_RV
72417,15.0,0.0,0.0,0.0
72481,0.0,1.0,0.0,0.0
118290,0.0,0.0,0.0,15.0
118440,28.0,0.0,0.0,0.0
118990,0.0,0.0,0.0,1.0
118991,0.0,0.0,1.0,0.0
118992,0.0,0.0,0.0,1.0
118993,0.0,0.0,0.0,1.0
118994,0.0,1.0,0.0,0.0
119040,0.0,1.0,0.0,0.0
119090,59.0,0.0,0.0,0.0
119140,73.0,0.0,0.0,4.0
119190,17.0,0.0,3.0,0.0
119240,24.0,0.0,5.0,0.0
119290,20.0,0.0,0.0,0.0
120840,0.0,2.0,0.0,0.0
120890,0.0,0.0,0.0,1.0
120990,0.0,5.0,0.0,0.0
121040,0.0,3.0,0.0,0.0
121390,69.0,0.0,0.0,4.0
121440,25.0,0.0,0.0,1.0
121740,0.0,0.0,0.0,7.0
122240,64.0,0.0,0.0,0.0
122390,39.0,0.0,0.0,1.0
122490,16.0,0.0,4.0,0.0
122491,10.0,0.0,0.0,1.0
122540,17.0,0.0,2.0,0.0
122890,17.0,0.0,0.0,0.0
122940,13.0,3.0,0.0,0.0
123340,10.0,0.0,0.0,0.0
123390,1.0,0.0,0.0,0.0
123440,15.0,0.0,0.0,0.0
126690,8.0,0.0,0.0,0.0
156340,0.0,0.0,5.0,23.0
159090,30.0,0.0,0.0,0.0
231831,31.0,0.0,0.0,1.0
231832,8.0,1.0,0.0,0.0
231833,8.0,0.0,5.0,1.0
231834,11.0,1.0,0.0,0.0
231835,15.0,0.0,0.0,20.0
231836,13.0,0.0,0.0,0.0
231837,20.0,0.0,0.0,3.0
231838,19.0,0.0,0.0,15.0
231839,34.0,0.0,0.0,11.0
231840,18.0,0.0,4.0,20.0
231841,14.0,0.0,0.0,10.0
231842,12.0,0.0,0.0,6.0
231843,9.0,0.0,0.0,0.0
231844,9.0,0.0,0.0,9.0
231845,0.0,1.0,0.0,0.0
231846,25.0,0.0,0.0,33.0
231848,18.0,1.0,0.0,21.0
231849,30.0,0.0,0.0,0.0
231850,19.0,0.0,0.0,0.0
231851,41.0,2.0,0.0,0.0
231852,0.0,1.0,0.0,56.0
231853,50.0,0.0,0.0,1.0
231854,10.0,0.0,0.0,52.0
231855,0.0,0.0,5.0,31.0
231856,35.0,0.0,0.0,2.0
231857,16.0,0.0,0.0,2.0
231858,0.0,6.0,0.0,0.0
231859,13.0,0.0,0.0,2.0
231860,69.0,0.0,0.0,15.0
231861,68.0,0.0,0.0,7.0
231862,56.0,0.0,28.0,23.0
231863,17.0,0.0,0.0,11.0
231864,15.0,0.0,0.0,44.0
231865,0.0,1.0,0.0,0.0
231866,21.0,0.0,0.0,0.0
231867,19.0,0.0,0.0,0.0
231868,56.0,0.0,0.0,0.0
231869,19.0,0.0,0.0,0.0
231870,32.0,0.0,0.0,0.0
231871,18.0,0.0,0.0,0.0
231872,0.0,1.0,0.0,0.0
231873,0.0,1.0,0.0,0.0
231874,20.0,0.0,0.0,1.0
231875,37.0,0.0,0.0,0.0
231876,17.0,0.0,0.0,0.0
231877,17.0,0.0,0.0,2.0
231878,0.0,2.0,0.0,0.0
231879,0.0,3.0,0.0,0.0
231880,46.0,1.0,0.0,1.0
231881,4.0,0.0,0.0,0.0
231882,8.0,0.0,6.0,0.0
231883,5.0,0.0,0.0,1.0
231884,29.0,3.0,0.0,28.0
231885,0.0,1.0,0.0,0.0
231886,0.0,0.0,0.0,15.0
231887,0.0,1.0,0.0,0.0
231888,0.0,1.0,0.0,0.0
231889,0.0,1.0,0.0,0.0
231890,0.0,1.0,0.0,0.0
231891,3.0,2.0,0.0,19.0
231892,0.0,1.0,0.0,0.0
231893,0.0,2.0,0.0,0.0
231894,30.0,0.0,6.0,0.0
231896,40.0,1.0,0.0,3.0
231897,46.0,4.0,0.0,0.0
231898,51.0,0.0,0.0,7.0
231899,23.0,0.0,0.0,0.0
231900,17.0,0.0,0.0,1.0
231901,22.0,4.0,0.0,0.0
231902,0.0,1.0,0.0,0.0
231903,60.0,0.0,0.0,0.0
231904,36.0,0.0,0.0,1.0
231905,0.0,3.0,0.0,0.0
