facilityid,median_orderdate_to_startdate,average_orderdate_to_startdate,min_orderdate_to_startdate,max_orderdate_to_startdate,average_nights,median_nights
118440.0,20.0,40.25,3,182,3.310344827586207,3.0
119090.0,30.0,55.37143837967731,1,236,2.4792310332990044,2.0
119140.0,21.0,42.11889035667107,1,188,2.4145310435931306,2.0
119190.0,21.0,37.29351969504447,1,184,3.0609911054637866,2.0
119240.0,21.5,44.950943396226414,1,189,2.690566037735849,2.0
119290.0,44.0,70.81323480013437,2,212,1.927779643936849,2.0
120990.0,34.0,68.43333333333334,2,378,4.733333333333333,2.0
121040.0,94.5,114.59302325581395,2,366,2.2093023255813953,2.0
121390.0,30.0,49.80332103321033,2,189,2.4874538745387453,2.0
121440.0,50.0,76.96379257440933,3,203,2.142988646824179,2.0
122490.0,23.0,41.16260162601626,3,182,2.258807588075881,2.0
122491.0,15.0,23.88034188034188,3,182,2.0384615384615383,2.0
122540.0,25.0,48.33611691022965,3,184,2.7181628392484343,2.0
122890.0,24.0,42.53388090349076,2,182,2.0369609856262834,2.0
122940.0,21.0,41.414468085106385,2,361,1.9046808510638298,2.0
123390.0,29.5,48.0625,1,167,3.34375,2.0
123440.0,51.0,70.60554016620499,2,196,2.444321329639889,2.0
231947.0,79.0,90.8728448275862,5,288,1.9375,2.0
231949.0,91.5,101.63793103448276,8,303,1.896551724137931,2.0
231950.0,135.0,154.35925925925926,0,371,2.1944444444444446,2.0
231951.0,175.0,171.11152416356876,4,366,2.2453531598513012,2.0
231952.0,171.0,184.135593220339,4,379,2.5084745762711864,2.0
231953.0,113.0,125.91794871794872,4,362,3.041025641025641,3.0
231954.0,103.0,96.66035839892815,2,204,3.746608608273321,3.0
231955.0,66.0,135.20535714285714,0,376,2.9642857142857144,2.0
231956.0,158.0,141.22475570032574,1,366,2.3094462540716614,2.0
231957.0,176.0,162.06069364161849,0,367,2.832369942196532,3.0
231958.0,42.0,62.45497237569061,2,379,2.0951657458563537,2.0
231959.0,98.0,98.70242424242424,0,461,2.1663299663299664,2.0
231960.0,101.0,109.60761346998535,3,375,2.273792093704246,2.0
231961.0,22.0,36.77443105756359,2,184,2.2001338688085674,2.0
231962.0,20.0,33.090823970037455,2,366,2.351123595505618,2.0
231963.0,82.0,92.46255506607929,3,366,3.080763582966226,3.0
231964.0,49.0,68.75675675675676,3,255,2.135135135135135,2.0
231965.0,116.0,116.47682119205298,3,366,2.4503311258278146,2.0
231966.0,113.5,112.37096774193549,4,366,2.161290322580645,2.0
231967.0,115.0,133.375,3,376,2.3375,2.0
231968.0,100.0,99.83064516129032,3,241,2.693548387096774,2.0
231969.0,34.0,49.52815364469664,3,237,2.2509821038847666,2.0
231970.0,72.0,84.29629629629629,7,239,2.0987654320987654,2.0
231971.0,45.0,58.308411214953274,2,362,3.588785046728972,2.0
231972.0,61.0,71.65178571428571,0,362,2.1339285714285716,2.0
231973.0,44.0,61.327048337332876,3,246,2.045594789166952,2.0
231974.0,91.0,96.624,5,323,1.976,2.0
231975.0,32.0,47.6584670231729,0,233,2.2055258467023173,2.0
231976.0,29.0,44.313677130044844,0,366,2.1701793721973095,2.0
231977.0,124.5,139.1358024691358,3,366,2.1666666666666665,2.0
231978.0,62.0,80.14010294805803,1,234,2.8029948525970987,2.0
231979.0,22.0,45.61813368630046,0,366,2.349272005294507,2.0
231980.0,22.0,53.72626841243863,0,218,2.516045125087678,2.0
231981.0,24.0,58.00034818941504,1,368,3.0999303621169916,3.0
231983.0,137.0,150.46666666666667,1,366,2.8666666666666667,2.0
231984.0,202.5,197.42391304347825,3,374,2.891304347826087,3.0
231985.0,40.0,64.73535699016674,3,212,2.354852501068833,2.0
231986.0,92.0,93.67246770904147,3,275,2.6889191026512576,2.0
231987.0,121.5,104.80887521968366,0,373,3.336115992970123,3.0
231988.0,53.5,80.95399698340874,3,366,2.8838612368024132,3.0
231989.0,79.0,93.5031847133758,3,191,3.113375796178344,3.0
232018.0,57.0,79.80386904761905,1,256,2.475892857142857,2.0
232020.0,159.0,144.8231292517007,3,335,2.006802721088435,2.0
232021.0,68.0,87.99659863945578,4,364,2.707482993197279,2.0
232022.0,39.0,55.83175604626709,3,184,2.0515247108307046,2.0
232023.0,45.0,71.66919431279621,1,366,2.1592417061611373,2.0
232030.0,53.0,74.76767676767676,1,361,1.6464646464646464,2.0
232031.0,113.0,125.7218045112782,1,364,1.9473684210526316,2.0
232032.0,120.5,124.58181818181818,4,366,3.606060606060606,3.0
232033.0,33.0,56.388935989826194,1,236,2.23505722763883,2.0
232035.0,44.0,70.97774193548388,1,370,2.077258064516129,2.0
232037.0,34.0,61.60408082408875,0,320,2.1544770206022186,2.0
232038.0,58.0,79.13195057369815,1,240,2.2453662842012356,2.0
232043.0,186.0,184.7337278106509,0,366,2.42603550295858,2.0
232045.0,187.0,186.87431693989072,5,381,2.7049180327868854,2.0
232047.0,24.0,37.33685360524399,1,221,2.4528404952658414,2.0
232048.0,137.0,149.68879668049792,4,366,2.771784232365145,3.0
232049.0,97.0,96.11476664116297,2,228,2.8215378729915837,3.0
232051.0,20.0,24.781056966369253,1,180,2.216197666437886,2.0
232052.0,29.0,48.60573411249087,3,243,2.3077063550036523,2.0
232053.0,128.0,128.17625899280574,4,366,2.931654676258993,3.0
232054.0,31.0,50.686823255039144,0,279,2.160919540229885,2.0
232057.0,171.5,163.30769230769232,2,364,3.5384615384615383,3.0
232058.0,86.0,92.11596788581623,3,195,3.311329170383586,3.0
232059.0,70.0,89.38213953488372,1,377,2.570418604651163,2.0
232061.0,111.0,100.14021164021165,2,239,2.8865608465608465,2.0
232064.0,38.0,70.58437625007143,0,376,2.2775015715183726,2.0
232068.0,139.5,135.1875,1,362,2.1484375,2.0
232069.0,41.0,61.17809922025088,3,360,1.8397559046219911,1.0
232070.0,74.0,89.5085097550851,2,378,2.6852082468520826,2.0
232072.0,189.5,190.82857142857142,13,366,2.2714285714285714,2.0
232074.0,37.0,58.83148875401642,1,249,2.2309889325240984,2.0
232077.0,69.0,82.12901744719926,3,226,1.702173247627793,1.0
232079.0,97.0,96.61598906730441,3,219,4.772804919713017,3.0
232081.0,100.0,97.24311531841653,1,266,2.5942340791738383,2.0
232082.0,31.0,49.44,1,184,2.536,2.0
232083.0,55.0,80.98943215443146,2,356,2.8359870367761024,2.0
232090.0,88.0,95.16123642439432,3,194,4.510442773600668,3.0
232094.0,114.0,102.01586851799377,3,212,2.574241994899405,2.0
232096.0,50.0,74.99334637964775,1,205,2.4563600782778865,2.0
232099.0,104.0,99.51413006469187,3,221,2.3840653728294177,2.0
232100.0,107.0,110.81904761904762,1,358,2.4380952380952383,2.0
232107.0,29.0,38.8026235509457,3,182,2.2550335570469797,2.0
232113.0,26.0,41.60178204249486,1,184,2.1905414667580536,2.0
232117.0,118.0,104.15215577190543,6,243,3.105146036161335,2.0
232118.0,46.0,70.03399311531841,1,207,2.320998278829604,2.0
232119.0,108.0,99.63063063063063,3,194,4.123669123669123,3.0
232120.0,45.0,73.4287236877165,1,237,2.1598721023181455,2.0
232121.0,157.0,163.0888888888889,3,370,2.9703703703703703,3.0
232123.0,107.0,100.27526679221594,3,420,1.8491054613935969,2.0
232125.0,73.0,84.74110744407774,2,209,2.764943160982765,2.0
232136.0,39.0,64.16855167361143,0,435,2.6505334493337607,2.0
232137.0,40.0,59.55900329102022,3,201,2.3770568876351668,2.0
232138.0,27.0,40.8756666318101,2,258,2.148593537592806,2.0
232148.0,205.0,219.0,147,364,3.5555555555555554,3.0
232181.0,22.0,42.17356392835083,0,232,2.5015441630636195,2.0
232182.0,98.0,99.84099531354609,0,209,4.070185226511939,3.0
232183.0,125.0,106.63291309012875,0,210,4.5435890557939915,4.0
232184.0,28.0,48.31812080536913,0,184,2.9382550335570468,3.0
232185.0,60.0,77.55845674201092,4,228,2.7572096648480127,2.0
