FacilityID,OrgFacilityID,ParentRecAreaID,FacilityName,FacilityLongitude,FacilityLatitude,NumberofCampsites,ActivityName
10000305,126,16669.0,Burro Creek Campground ,-113.45168799999999,34.535861,25,"CAMPING,WILDLIFE VIEWING,HIKING,PICNICKING,DAY USE AREA,ENVIRONMENTAL EDUCATION,PHOTOGRAPHY,BIRDING,WATER ACCESS,BACKPACKING"
10001419,130,287.0,Cold Brook Campground,0.0,0.0,12,"BOATING,CAMPING,FISHING,WILDLIFE VIEWING,HIKING,PICNICKING,DAY USE AREA,BIRDING,WATER ACCESS,SWIMMING"
10001432,130,286.0,Cottonwood Springs Campground,0.0,0.0,18,"BOATING,CAMPING,FISHING,WILDLIFE VIEWING,HIKING,PICNICKING,DAY USE AREA,BIRDING,WATER ACCESS"
10001451,128,2602.0,Steel Creek Campground,0.0,0.0,39,"CAMPING,FISHING,HIKING,PICNICKING,HORSEBACK RIDING,HISTORIC & CULTURAL SITE,SWIMMING,HORSE CAMPING,RANGER STATION,KAYAKING,CANOEING,STAR GAZING"
10003362,129,130.0,Chinamen's Campground,0.0,0.0,38,"BOATING,CAMPING,WATER ACTIVITIES"
10003401,129,130.0,Jo Bonner  Campground ,0.0,0.0,17,"BOATING,CAMPING,FISHING,WATER ACTIVITIES"
10004152,128,2991.0,Camp 4,-119.603357,37.741426000000004,37,
10004300,129,1128.0,Lakeside Campground (ND),0.0,0.0,57,
10004358,128,2589.0,Station Camp Campground,0.0,0.0,24,"CAMPING,WILDLIFE VIEWING,HIKING,HUNTING,HORSEBACK RIDING"
10004657,128,2607.0,Bay View House,-70.074826,41.958112,1,
10004659,128,2607.0,Beach View House,-69.94838100000001,41.847716,1,
10004661,128,2607.0,Le Count Beach  House,-69.978429,41.922855,1,
10004663,128,2607.0,Ocean View House,-69.97720100000001,41.926891999999995,1,
10004665,128,2607.0,Seashore Modern House,-69.993971,41.958068,1,
10004667,128,2607.0,Sunrise House,-69.977154,41.925892,1,
10004919,131,1045.0,Lake Powhatan Glamping,0.0,0.0,12,"BOATING,CAMPING,FISHING,BIKING,HIKING,PICNICKING,DAY USE AREA,PHOTOGRAPHY,WATER ACCESS,MOUNTAIN BIKING,SWIMMING,KAYAKING,CANOEING,STAR GAZING,WILDERNESS,SWIMMING SITE,ANTIQUING,SCENIC DRIVE,RAFTING,WHITEWATER RAFTING,MUSHROOM PICKING,TUBING,ACCESSIBLE SWIMMING"
10004932,128,2845.0,Gorge Lake Campground,-121.151532,48.715713,8,"BOATING,FISHING,WATER ACCESS,KAYAKING,CANOEING"
10005253,131,1076.0,(Lake Alpine) West Shore,0.0,0.0,25,
10005349,126,10008685.0,Log Gulch Campground,0.0,0.0,46,"BOATING,CAMPING,FISHING,WILDLIFE VIEWING,HIKING,PICNICKING,DAY USE AREA,PHOTOGRAPHY,BIRDING,WATER ACCESS,MOUNTAIN BIKING,WATER SPORTS,HISTORIC & CULTURAL SITE,SWIMMING,KAYAKING,CANOEING,SWIMMING SITE,SCENIC DRIVE,RAFTING,INFORMATION SITE,PADDLING,PADDLE BOATING,JET SKIING,WATER SKIING,ICE FISHING"
10005351,131,1069.0,Blue Lake Campground,0.0,0.0,1,
10006204,131,1011.0,Beaver Creek A-Frame,0.0,0.0,1,"FISHING,WILDLIFE VIEWING,HIKING,HUNTING,MOUNTAIN BIKING,OFF ROAD VEHICLE TRAILS,OFF HIGHWAY VEHICLE TRAILS,BERRY PICKING"
10006206,131,1030.0,Moon Lake Guard Station ,0.0,0.0,1,"BOATING,FISHING,WILDLIFE VIEWING,BIKING,HIKING,PHOTOGRAPHY,BIRDING,WATER ACCESS,BACKPACKING,HORSEBACK RIDING,SWIMMING,CANOEING,WILDERNESS,WATER ACTIVITIES,SCENIC DRIVE,ACCESSIBLE SWIMMING,JET SKIING,WATER SKIING,OTHER RECREATION CONCESSION SITE,NON-MOTORIZED BOATING,MOTOR BOAT,BEACHCOMBING,WOOD CUTTING"
10006208,128,2799.0,Joe Thompson Cabin,0.0,0.0,1,
10007130,128,2896.0,Cabin Camp 3,-77.360138,38.563559000000005,13,"CAMPING,FISHING,WILDLIFE VIEWING,BIKING,HIKING,DAY USE AREA,PHOTOGRAPHY,BIRDING,BACKPACKING,HISTORIC & CULTURAL SITE,SCENIC DRIVE,VISITOR CENTER,INTERPRETIVE PROGRAMS"
