FacilityID,OrgFacilityID,ParentRecAreaID,FacilityName,FacilityLongitude,FacilityLatitude,NumberofCampsites,ActivityName,NumberofReservations,PostalCode,AddressStateCode,demand,Cluster
10004152,128,2991.0,Camp 4,-119.603357,37.741426000000004,37,,3826,CA,95389,103.4054054054054,4
10004932,128,2845.0,Gorge Lake Campground,-121.151532,48.715713,8,"BOATING,FISHING,WATER ACCESS,KAYAKING,CANOEING",905,WA,98284,113.125,4
10039887,131,1077.0,Dark Day Campground,-121.10863300000001,39.431283,10,"BOATING,CAMPING,FISHING,WILDLIFE VIEWING,BIKING,PICNICKING,DAY USE AREA,WATER ACCESS,WATER SPORTS,SWIMMING,RANGER STATION,KAYAKING,CANOEING,WATER ACTIVITIES,PADDLING,WATER SKIING,NON-MOTORIZED BOATING,MOTOR BOAT",591,CA,95922,59.1,7
10039993,131,1077.0,Garden Point Boat-in Campground,-121.12436699999999,39.433316999999995,16,"BOATING,CAMPING,FISHING,WATER ACCESS,WATER SPORTS,SWIMMING,CANOEING,WATER ACTIVITIES,PADDLING,WATER SKIING,MOTOR BOAT",572,CA,95922,35.75,7
10040012,131,1077.0,Hornswoggle Group Campground,-121.120117,39.41493300000001,6,"BOATING,CAMPING,FISHING,BIKING,HIKING,PICNICKING,MOUNTAIN BIKING,WATER SPORTS,SWIMMING,RANGER STATION,CANOEING,WATER ACTIVITIES,PADDLING,WATER SKIING",155,CA,95922,25.833333333333332,0
10040022,131,1077.0,Madrone Cove Boat-in Campground,-121.1652,39.469833,10,"BOATING,CAMPING,FISHING,WATER SPORTS,KAYAKING,CANOEING,WATER ACTIVITIES,PADDLING,WATER SKIING,MOTOR BOAT",265,CA,95922,26.5,7
10040047,131,1077.0,Schoolhouse Campground (CA) ,-121.120383,39.418083,55,"BOATING,CAMPING,FISHING,BIKING,HIKING,PICNICKING,MOUNTAIN BIKING,WATER SPORTS,SWIMMING,RANGER STATION,KAYAKING,CANOEING,WATER ACTIVITIES,PADDLING,WATER SKIING,MOTOR BOAT",2338,CA,95922,42.50909090909091,6
118440,131,1066.0,ASPEN GROVE CAMPGROUND,-120.774414,40.555019,28,,580,CA,96130,20.714285714285715,6
119090,131,1108.0,FAREWELL BEND CAMPGROUND,-122.435331,42.916239000000004,59,,2913,OR,97541,49.3728813559322,7
119140,131,1108.0,UNION CREEK CAMPGROUND - ROGUE RIVER,-122.45,42.91027800000001,77,,3785,OR,97541,49.15584415584416,7
119190,131,1108.0,FISH LAKE CAMPGROUND - ROGUE RIVER,-122.318228,42.394214,20,,787,OR,97541,39.35,7
119240,131,1108.0,DOE POINT CAMPGROUND,-122.323022,42.392739,29,,1060,OR,97541,36.55172413793103,7
119290,131,1120.0,WILLABY CAMPGROUND,-123.803703,47.4485,20,"HIKING,SWIMMING",2977,WA,98575,148.85,8
120990,131,1072.0,HALFWAY GROUP CAMPGROUND,-118.451944,35.803056,5,,90,CA,93238,18.0,6
121040,131,1072.0,THUNDERBIRD GROUP CAMPGROUND,-118.457222,35.815278,3,,86,CA,93238,28.666666666666668,0
121390,131,16822.0,NASON CREEK CAMPGROUND,-120.716,47.7996,73,,2710,WA,98826,37.12328767123287,7
121440,131,16822.0,EIGHTMILE CAMPGROUND,-120.76611100000001,47.550833000000004,26,,3259,WA,98826,125.34615384615384,4
122490,131,1114.0,ICE CAP CAMPGROUND,-121.99916699999999,44.34027800000001,20,"BOATING,HIKING,MOUNTAIN BIKING",738,OR,97413,36.9,7
122491,131,1114.0,COUGAR CROSSING CAMPGROUND,-122.219808,44.057778000000006,11,,234,OR,97413,21.272727272727273,7
122540,131,1114.0,LOOKOUT CAMPGROUND AND BOAT LAUNCH - WILLAMETTE,-122.2586,44.204769,19,"WATER SPORTS,SWIMMING",479,OR,97413,25.210526315789473,7
122890,131,1102.0,EAGLE CREEK CAMPGROUND,-121.925278,45.642222,17,"CAMPING,FISHING,WILDLIFE VIEWING,BIKING,HIKING,PICNICKING,DAY USE AREA,ENVIRONMENTAL EDUCATION,BIRDING,WATER ACCESS,BACKPACKING,WATER SPORTS,HISTORIC & CULTURAL SITE,WATER ACTIVITIES,RECREATIONAL VEHICLES,SCENIC DRIVE,INTERPRETIVE PROGRAMS,FISH HATCHERY,FISH VIEWING SITE,AMPHITHEATER,EVENING PROGRAMS",487,OR,97031,28.647058823529413,7
122940,131,1102.0,WYETH CAMPGROUND,-121.772222,45.690278,16,"CAMPING,BIKING,HIKING,ENVIRONMENTAL EDUCATION,BIRDING,WATER ACCESS,BACKPACKING,MOUNTAIN BIKING,HISTORIC & CULTURAL SITE,WILDERNESS,RECREATIONAL VEHICLES,INTERPRETIVE PROGRAMS,SAILBOARDING,EVENING PROGRAMS,SEA KAYAKING",1175,OR,97031,73.4375,7
123390,131,1065.0,HIDDEN HORSE EQUESTRIAN CAMPGROUND,-122.91031399999999,41.219661,1,,32,CA,96032,32.0,7
123440,131,1072.0,LIMESTONE CAMPGROUND,-118.478889,35.963333,15,,1805,CA,93238,120.33333333333333,4
