FacilityID,CampsiteType,CampsiteID
72417,STANDARD NONELECTRIC,15
72481,GROUP STANDARD AREA NONELECTRIC,1
118290,MANAGEMENT,15
118440,TENT ONLY NONELECTRIC,28
118990,CABIN ELECTRIC,1
118991,LOOKOUT,1
118992,CABIN ELECTRIC,1
118993,CABIN ELECTRIC,1
118994,GROUP STANDARD NONELECTRIC,1
119040,GROUP STANDARD AREA NONELECTRIC,1
119090,STANDARD NONELECTRIC,59
119140,MANAGEMENT,1
119140,RV ELECTRIC,3
119140,STANDARD NONELECTRIC,73
119190,STANDARD NONELECTRIC,17
119190,WALK TO,3
119240,STANDARD NONELECTRIC,24
119240,WALK TO,5
119290,TENT ONLY NONELECTRIC,20
120840,GROUP STANDARD AREA NONELECTRIC,2
120890,CABIN NONELECTRIC,1
120990,GROUP STANDARD AREA NONELECTRIC,2
120990,GROUP TENT ONLY AREA NONELECTRIC,3
121040,GROUP STANDARD AREA NONELECTRIC,3
121390,MANAGEMENT,4
121390,STANDARD NONELECTRIC,41
121390,TENT ONLY NONELECTRIC,28
121440,MANAGEMENT,1
121440,STANDARD NONELECTRIC,24
121440,TENT ONLY NONELECTRIC,1
121740,CABIN ELECTRIC,7
122240,STANDARD NONELECTRIC,64
122390,MANAGEMENT,1
122390,STANDARD NONELECTRIC,4
122390,TENT ONLY NONELECTRIC,35
122490,STANDARD NONELECTRIC,10
122490,TENT ONLY NONELECTRIC,6
122490,WALK TO,4
122491,MANAGEMENT,1
122491,STANDARD NONELECTRIC,10
122540,STANDARD NONELECTRIC,15
122540,TENT ONLY NONELECTRIC,2
122540,WALK TO,2
122890,STANDARD NONELECTRIC,17
122940,GROUP STANDARD NONELECTRIC,3
122940,STANDARD NONELECTRIC,13
123340,STANDARD NONELECTRIC,10
123390,EQUESTRIAN NONELECTRIC,1
123440,TENT ONLY NONELECTRIC,15
126690,EQUESTRIAN NONELECTRIC,8
156340,MANAGEMENT,1
156340,STANDARD ELECTRIC,22
156340,WALK TO,5
159090,STANDARD NONELECTRIC,30
231831,MANAGEMENT,1
231831,STANDARD NONELECTRIC,31
231832,GROUP STANDARD NONELECTRIC,1
231832,STANDARD NONELECTRIC,8
231833,MANAGEMENT,1
231833,STANDARD NONELECTRIC,8
231833,WALK TO,5
231834,GROUP STANDARD AREA NONELECTRIC,1
231834,STANDARD NONELECTRIC,11
231835,MANAGEMENT,20
231835,STANDARD NONELECTRIC,15
231836,STANDARD NONELECTRIC,13
231837,MANAGEMENT,3
231837,STANDARD NONELECTRIC,19
231837,TENT ONLY NONELECTRIC,1
231838,MANAGEMENT,15
231838,STANDARD NONELECTRIC,19
231839,MANAGEMENT,11
231839,STANDARD NONELECTRIC,34
231840,MANAGEMENT,20
231840,STANDARD NONELECTRIC,12
231840,TENT ONLY NONELECTRIC,6
231840,WALK TO,4
231841,MANAGEMENT,10
