tenting,(Multiple Items),,group,(Multiple Items),,remote,(Multiple Items),,structured_RV,(Multiple Items),,type of camping,median day 
2.521153547,,,2.464285714,,,2.411535777,,,2.443920829,,,tenting,2.521153547
Row Labels,,,Row Labels,,,Row Labels,,,Row Labels,,,group,2.464285714
1,,,1.34663262,,,1.34663262,,,1.384615385,,,remote,2.411535777
1.457575758,,,1.425,,,1.712248322,,,1.428571429,,,structured_RV,2.443920829
1.492753623,,,1.546391753,,,1.746061752,,,1.65,,,,
1.5,,,1.625766871,,,1.880254777,,,1.696969697,,,,
1.615331492,,,1.632911392,,,1.917159763,,,1.856998993,,,,
1.659919028,,,1.649122807,,,1.922105263,,,1.861111111,,,,
1.683481701,,,1.652892562,,,2.035214915,,,1.875,,,,
1.712248322,,,1.692307692,,,2.063516654,,,1.885393258,,,,
1.712802768,,,1.72,,,2.086387435,,,1.886075949,,,,
1.721368715,,,1.721368715,,,2.100806452,,,1.922105263,,,,
1.740458015,,,1.734375,,,2.14973262,,,1.946428571,,,,
1.746061752,,,1.746061752,,,2.150803461,,,1.955882353,,,,
1.75,,,1.777777778,,,2.178010471,,,1.964285714,,,,
1.757281553,,,1.782608696,,,2.217360115,,,1.965116279,,,,
1.759259259,,,1.792421746,,,2.227184466,,,1.971042471,,,,
1.792421746,,,1.8,,,2.235294118,,,1.978723404,,,,
1.800261097,,,1.856998993,,,2.2890625,,,2,,,,
1.829694323,,,1.87037037,,,2.328107503,,,2.011650485,,,,
1.833333333,,,1.875,,,2.342710997,,,2.035214915,,,,
1.853658537,,,1.877391304,,,2.372430472,,,2.03926097,,,,
1.853904282,,,1.880254777,,,2.409704852,,,2.04,,,,
1.856026786,,,1.884615385,,,2.413366701,,,2.040816327,,,,
1.856998993,,,1.884955752,,,2.413605442,,,2.041666667,,,,
1.862210095,,,1.888888889,,,2.43485342,,,2.05693261,,,,
1.866935484,,,1.90625,,,2.437351736,,,2.077928084,,,,
1.876712329,,,1.909090909,,,2.465489567,,,2.07966457,,,,
1.877391304,,,1.923076923,,,2.49602122,,,2.081632653,,,,
1.880254777,,,1.929961089,,,2.5,,,2.094189093,,,,
1.885393258,,,1.933333333,,,2.51835206,,,2.102941176,,,,
1.893564356,,,1.962962963,,,2.535558781,,,2.111111111,,,,
1.898058252,,,2,,,2.538293217,,,2.117647059,,,,
1.904958678,,,2.00962963,,,2.541818182,,,2.119402985,,,,
1.911585366,,,2.011650485,,,2.604651163,,,2.126984127,,,,
1.915576694,,,2.011802575,,,2.619122257,,,2.127392344,,,,
1.91634981,,,2.043478261,,,2.69121813,,,2.136363636,,,,
1.92,,,2.047619048,,,2.845592705,,,2.142857143,,,,
1.92033543,,,2.05693261,,,2.986013986,,,2.155172414,,,,
1.922105263,,,2.063516654,,,3.135830325,,,2.164886205,,,,
1.924686192,,,2.068965517,,,3.210743802,,,2.180327869,,,,
1.925438596,,,2.077928084,,,3.981409002,,,2.188418629,,,,
1.929961089,,,2.083333333,,,4.243119266,,,2.190344828,,,,
1.95,,,2.099009901,,,4.73540146,,,2.192807957,,,,
1.966804979,,,2.1,,,Grand Total,,,2.2,,,,
1.971042471,,,2.100806452,,,,,,2.21461794,,,,
1.974137931,,,2.116161616,,,,,,2.217360115,,,,
1.983216783,,,2.12,,,,,,2.21884984,,,,
1.997590361,,,2.127392344,,,,,,2.225806452,,,,
2,,,2.133333333,,,,,,2.229166667,,,,
2.003367003,,,2.13740458,,,,,,2.245956607,,,,
2.00962963,,,2.143769968,,,,,,2.259032796,,,,
2.010733453,,,2.15,,,,,,2.27765625,,,,
2.010873641,,,2.166666667,,,,,,2.284768212,,,,
2.011650485,,,2.167800454,,,,,,2.285714286,,,,
2.011802575,,,2.176470588,,,,,,2.28654311,,,,
2.013487476,,,2.178010471,,,,,,2.293333333,,,,
2.024948025,,,2.178571429,,,,,,2.307692308,,,,
2.035214915,,,2.181818182,,,,,,2.313432836,,,,
2.035520474,,,2.189189189,,,,,,2.314285714,,,,
2.03926097,,,2.190344828,,,,,,2.315789474,,,,
2.03930131,,,2.19249845,,,,,,2.322580645,,,,
2.054635762,,,2.194064818,,,,,,2.326996198,,,,
2.055762082,,,2.2,,,,,,2.331367925,,,,
2.05693261,,,2.204081633,,,,,,2.333333333,,,,
2.060606061,,,2.205128205,,,,,,2.353932584,,,,
2.062068966,,,2.208333333,,,,,,2.361111111,,,,
2.063516654,,,2.214285714,,,,,,2.361469712,,,,
2.077928084,,,2.217360115,,,,,,2.367346939,,,,
2.07966457,,,2.21884984,,,,,,2.372430472,,,,
2.084309133,,,2.224637681,,,,,,2.382978723,,,,
