facilityid,#tenting,#group,#remote,#structured_RV,tenting,group,remote,structured_RV,totalbeforetax,numberofpeople,reservation_days,days_stay,FacilityName,FacilityLongitude,FacilityLatitude,tenting_demand,group_demand,remote_demand,structured_RV_demand,Year
231947,0.0,3.0,0.0,0.0,0.0,95.0,0.0,0.0,129.0,30.0,68.0,2.0,FALCON GROUP,-117.460278,33.655833,,31.666666666666668,,,2016
231949,0.0,1.0,0.0,0.0,0.0,31.0,0.0,0.0,94.0,40.0,84.0,2.0,CRESTLINE PICNIC GROUND,-116.864722,33.312778,,31.0,,,2016
231950,0.0,5.0,0.0,0.0,0.0,75.0,0.0,0.0,105.0,30.0,161.0,2.0,EL PRADO GROUP,-116.455556,32.886944,,15.0,,,2016
231951,0.0,3.0,0.0,0.0,0.0,55.0,0.0,0.0,219.0,50.0,136.0,2.0,HORSE HEAVEN GROUP,-116.44083300000001,32.8875,,18.333333333333332,,,2016
231952,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,339.0,82.5,166.5,3.0,WOODED HILL GROUP,-116.42,32.850278,,4.0,,,2016
231953,0.0,2.0,0.0,0.0,0.0,47.0,0.0,0.0,46.5,25.0,149.0,3.0,MIDDLE MEADOWS,-120.46611100000001,39.051111,,23.5,,,2016
231954,55.0,0.0,9.0,0.0,779.0,0.0,190.0,0.0,49.0,5.0,121.0,3.0,WRIGHTS LAKE,-120.23111100000001,38.849444,14.163636363636364,,21.11111111111111,,2016
231955,0.0,1.0,0.0,0.0,0.0,31.0,0.0,0.0,39.0,6.0,53.0,2.0,OBSIDIAN FLAT,-119.016667,37.733333,,31.0,,,2016
231956,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,156.0,1.0,AGNEW MEADOWS GROUP CAMP,-119.089444,37.682221999999996,,0.3333333333333333,,,2016
231957,0.0,4.0,0.0,0.0,0.0,103.0,0.0,0.0,144.14,20.0,164.0,3.0,PUMICE FLAT GROUP CAMP,-119.07361100000001,37.648889000000004,,25.75,,,2016
231958,35.0,1.0,3.0,1.0,1025.0,37.0,147.0,0.0,34.0,6.0,49.0,2.0,ARROYO SECO,-121.47861100000001,36.239722,29.285714285714285,37.0,49.0,0.0,2016
231959,37.0,3.0,0.0,0.0,2407.0,103.0,0.0,0.0,44.0,4.0,110.5,2.0,PLASKETT CREEK CAMPGROUND,-121.465,35.91722199999999,65.05405405405405,34.333333333333336,,,2016
231960,0.0,5.0,0.0,0.0,0.0,140.0,0.0,0.0,191.0,43.0,125.0,2.0,SAGE HILL,-119.79111100000001,34.539167,,28.0,,,2016
231961,6.0,0.0,2.0,0.0,362.0,0.0,54.0,0.0,49.0,5.0,27.0,2.0,UPPER OSO CAMPGROUND,-119.75388899999999,34.555833,60.333333333333336,,27.0,,2016
231963,10.0,1.0,0.0,14.0,335.0,14.0,0.0,0.0,49.0,4.0,73.0,3.0,LAKES BASIN,-120.65777800000001,39.666667,33.5,14.0,,0.0,2016
231964,0.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,209.0,25.0,45.0,2.0,Big Pine Equestrian Group Campground,-116.685556,34.316944,,23.0,,,2016
231965,0.0,1.0,0.0,0.0,0.0,31.0,0.0,0.0,249.0,40.0,104.0,2.0,BLUFF MESA GROUP CAMP,-116.975,34.223333000000004,,31.0,,,2016
231966,0.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,134.0,31.0,74.5,2.0,BOULDER GROUP CAMP,-116.975,34.223333000000004,,32.0,,,2016
231967,0.0,1.0,0.0,0.0,0.0,31.0,0.0,0.0,249.0,25.0,60.0,2.0,BUTTERCUP GROUP CAMP,-116.880278,34.235278,,31.0,,,2016
231968,0.0,1.0,0.0,0.0,0.0,33.0,0.0,0.0,249.0,30.0,95.0,2.0,DEER GROUP CAMP,-116.91416699999999,34.225,,33.0,,,2016
231969,15.0,0.0,0.0,7.0,312.0,0.0,0.0,0.0,29.0,5.0,36.0,2.0,FERN BASIN,-116.737778,33.788610999999996,20.8,,,0.0,2016
231971,0.0,1.0,0.0,0.0,0.0,27.0,0.0,0.0,119.0,25.0,42.0,2.0,IRONWOOD GROUP CAMP,-117.011944,34.303889,,27.0,,,2016
231972,0.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,249.0,25.0,52.0,2.0,JUNIPER SPRINGS GROUP CAMP,-116.71638899999999,34.219722,,25.0,,,2016
231973,16.0,0.0,0.0,9.0,454.0,0.0,0.0,0.0,29.0,4.0,40.5,2.0,MARION MOUNTAIN,-116.731944,33.791667,28.375,,,0.0,2016
231974,0.0,1.0,0.0,0.0,0.0,27.0,0.0,0.0,249.0,25.0,91.0,2.0,TANGLEWOOD GROUP CAMP,-116.86444399999999,34.292221999999995,,27.0,,,2016
231975,52.0,0.0,0.0,0.0,1793.0,0.0,0.0,0.0,67.0,6.0,40.0,2.0,BARTON FLATS,-116.874444,34.172222,34.48076923076923,,,,2016
231976,51.0,3.0,0.0,0.0,1389.0,87.0,0.0,0.0,63.0,6.0,29.0,2.0,SAN GORGONIO,-116.86638899999998,34.174444,27.235294117647058,29.0,,,2016
231977,0.0,1.0,0.0,0.0,0.0,31.0,0.0,0.0,162.0,40.0,127.0,2.0,PROSSER RANCH GROUP,-120.1552,39.378797,,31.0,,,2016
231978,81.0,0.0,0.0,41.0,1728.0,0.0,0.0,0.0,49.0,4.0,68.0,2.0,SANDBEACH,-123.959722,45.283889,21.333333333333332,,,0.0,2016
231979,183.0,6.0,0.0,0.0,552.0,40.0,0.0,0.0,39.0,3.0,32.0,2.0,BROKEN ARROW CAMPGROUND,-122.143056,43.134722,3.0163934426229506,6.666666666666667,,,2016
